SAMPID	SMTSD
BMS-X4LF-0126-SM-4JBHL	Thyroid
BMS-X4LF-0226-SM-4JBJ3	Artery - Pulmonary
BMS-X4LF-0326-SM-4JBIR	Muscle - Skeletal
BMS-X4LF-0426-SM-4JBIS	Skin - Sun Exposed (Lower leg)
BMS-X4LF-0526-SM-4JBHX	Adrenal Gland
BMS-X4LF-0626-SM-4JBGY	Pancreas
BMS-X4LF-0726-SM-4JBI4	Thyroid
BMS-X4LF-0826-SM-4JBIP	Artery - Pulmonary
BMS-X4LF-0926-SM-4JBII	Muscle - Skeletal
BMS-X4LF-1026-SM-4JBI8	Skin - Sun Exposed (Lower leg)
BMS-X4LF-1126-SM-4JBH8	Adrenal Gland
BMS-X4LF-1226-SM-4JBH6	Pancreas
BMS-X4LF-1326-SM-4JBJ6	Thyroid
BMS-X4LF-1426-SM-4JBJL	Artery - Pulmonary
BMS-X4LF-1526-SM-4JBIT	Muscle - Skeletal
BMS-X4LF-1626-SM-4JBIK	Skin - Sun Exposed (Lower leg)
BMS-X4LF-1726-SM-4JBH1	Adrenal Gland
BMS-X4LF-1826-SM-4JBGZ	Pancreas
BMS-X4LF-1926-SM-4JBHA	Thyroid
BMS-X4LF-2126-SM-4JBIU	Muscle - Skeletal
BMS-X4LF-2226-SM-4JBIX	Skin - Sun Exposed (Lower leg)
BMS-X4LF-2326-SM-4JBH2	Adrenal Gland
BMS-X4LF-2426-SM-4JBHC	Pancreas
BMS-X4LF-2626-SM-4JBI6	Thyroid
BMS-X4LF-2726-SM-4JBIB	Thyroid
BMS-X4LF-2826-SM-4JBIN	Artery - Pulmonary
BMS-X4LF-2926-SM-4JBIV	Artery - Pulmonary
BMS-X4LF-3026-SM-4JBJ5	Muscle - Skeletal
BMS-X4LF-3126-SM-4JBIW	Muscle - Skeletal
BMS-X4LF-3226-SM-4JBJF	Skin - Sun Exposed (Lower leg)
BMS-X4LF-3326-SM-4JBJI	Skin - Sun Exposed (Lower leg)
BMS-X4LF-3426-SM-4JBHU	Adrenal Gland
BMS-X4LF-3526-SM-4JBHW	Adrenal Gland
BMS-X4LF-3826-SM-4JBHP	Thyroid
BMS-X4LF-3926-SM-4JBHY	Thyroid
BMS-X4LF-4026-SM-4JBIG	Artery - Pulmonary
BMS-X4LF-4126-SM-4JBIH	Artery - Pulmonary
BMS-X4LF-4226-SM-4JBJ1	Muscle - Skeletal
BMS-X4LF-4326-SM-4JBJ2	Muscle - Skeletal
BMS-X4LF-4426-SM-4JBJ9	Skin - Sun Exposed (Lower leg)
BMS-X4LF-4526-SM-4JBJ4	Skin - Sun Exposed (Lower leg)
BMS-X4LF-4626-SM-4JBI3	Adrenal Gland
BMS-X4LF-4726-SM-4JBHK	Adrenal Gland
BMS-X4LF-5026-SM-4JBI7	Thyroid
BMS-X4LF-5126-SM-4JBHM	Thyroid
BMS-X4LF-5226-SM-4JBJC	Artery - Pulmonary
BMS-X4LF-5326-SM-4JBIF	Artery - Pulmonary
BMS-X4LF-5426-SM-4JBIE	Muscle - Skeletal
BMS-X4LF-5526-SM-4JBIA	Muscle - Skeletal
BMS-X4LF-5626-SM-4JBJD	Skin - Sun Exposed (Lower leg)
BMS-X4LF-5726-SM-4JBJ7	Skin - Sun Exposed (Lower leg)
BMS-X4LF-5826-SM-4JBHV	Adrenal Gland
BMS-X4LF-5926-SM-4JBI2	Adrenal Gland
BMS-X4LF-6226-SM-4JBIC	Thyroid
BMS-X4LF-6326-SM-4JBHS	Thyroid
BMS-X4LF-6426-SM-4JBJJ	Artery - Pulmonary
BMS-X4LF-6626-SM-4JBIZ	Muscle - Skeletal
BMS-X4LF-6726-SM-4JBIO	Muscle - Skeletal
BMS-X4LF-6826-SM-4JBJB	Skin - Sun Exposed (Lower leg)
BMS-X4LF-6926-SM-4JBJE	Skin - Sun Exposed (Lower leg)
BMS-X4LF-7026-SM-4JBHZ	Adrenal Gland
BMS-X4LF-7126-SM-4JBI1	Adrenal Gland
BMS-XBED-0126-SM-4GICY	Adrenal Gland
BMS-XBED-0226-SM-4GIAX	Artery - Aorta
BMS-XBED-0326-SM-4GIE7	Muscle - Skeletal
BMS-XBED-0426-SM-4GIDG	Pancreas
BMS-XBED-0526-SM-4GIDN	Skin - Sun Exposed (Lower leg)
BMS-XBED-0626-SM-4GID1	Thyroid
BMS-XBED-0726-SM-4GICZ	Adrenal Gland
BMS-XBED-0826-SM-4GICS	Artery - Aorta
BMS-XBED-0926-SM-4GIED	Muscle - Skeletal
BMS-XBED-1026-SM-4GIE5	Pancreas
BMS-XBED-1126-SM-4GIEA	Skin - Sun Exposed (Lower leg)
BMS-XBED-1226-SM-4GIDX	Thyroid
BMS-XBED-1326-SM-4GIE6	Adrenal Gland
BMS-XBED-1426-SM-4GICT	Artery - Aorta
BMS-XBED-1526-SM-4GICO	Muscle - Skeletal
BMS-XBED-1626-SM-4GID4	Pancreas
BMS-XBED-1726-SM-4GICP	Skin - Sun Exposed (Lower leg)
BMS-XBED-1826-SM-4GICU	Thyroid
BMS-XBED-1926-SM-4GIDL	Adrenal Gland
BMS-XBED-2026-SM-4GICQ	Artery - Aorta
BMS-XBED-2126-SM-4GICR	Muscle - Skeletal
BMS-XBED-2226-SM-4GIEB	Pancreas
BMS-XBED-2326-SM-4GICM	Skin - Sun Exposed (Lower leg)
BMS-XBED-2426-SM-4GIDW	Thyroid
BMS-XBED-2626-SM-4GIAN	Adrenal Gland
BMS-XBED-2726-SM-4GIAS	Adrenal Gland
BMS-XBED-2826-SM-4GIE9	Artery - Aorta
BMS-XBED-2926-SM-4GIDC	Artery - Aorta
BMS-XBED-3026-SM-4GIDK	Muscle - Skeletal
BMS-XBED-3126-SM-4GIEC	Muscle - Skeletal
BMS-XBED-3326-SM-4GIAO	Pancreas
BMS-XBED-3426-SM-4GIAT	Skin - Sun Exposed (Lower leg)
BMS-XBED-3526-SM-4GIB1	Skin - Sun Exposed (Lower leg)
BMS-XBED-3626-SM-4GIDR	Thyroid
BMS-XBED-3726-SM-4GIDH	Thyroid
BMS-XBED-3826-SM-4GIDP	Adrenal Gland
BMS-XBED-3926-SM-4GIDI	Adrenal Gland
BMS-XBED-4026-SM-4GIE3	Artery - Aorta
BMS-XBED-4126-SM-4GIDE	Artery - Aorta
BMS-XBED-4226-SM-4GID7	Muscle - Skeletal
BMS-XBED-4326-SM-4GICV	Muscle - Skeletal
BMS-XBED-4626-SM-4GIAP	Skin - Sun Exposed (Lower leg)
BMS-XBED-4726-SM-4GIAQ	Skin - Sun Exposed (Lower leg)
BMS-XBED-4826-SM-4GIDO	Thyroid
BMS-XBED-4926-SM-4GIDY	Thyroid
BMS-XBED-5026-SM-4GID5	Adrenal Gland
BMS-XBED-5126-SM-4GID3	Adrenal Gland
BMS-XBED-5226-SM-4GIE2	Artery - Aorta
BMS-XBED-5326-SM-4GIAY	Artery - Aorta
BMS-XBED-5426-SM-4GID8	Muscle - Skeletal
BMS-XBED-5526-SM-4GIE8	Muscle - Skeletal
BMS-XBED-5626-SM-4GIAU	Pancreas
BMS-XBED-5826-SM-4GID6	Skin - Sun Exposed (Lower leg)
BMS-XBED-5926-SM-4GIDA	Skin - Sun Exposed (Lower leg)
BMS-XBED-6026-SM-4GID9	Thyroid
BMS-XBED-6126-SM-4GICW	Thyroid
BMS-XBED-6226-SM-4GICX	Adrenal Gland
BMS-XBED-6326-SM-4GIDB	Adrenal Gland
BMS-XBED-6426-SM-4GIDJ	Artery - Aorta
BMS-XBED-6526-SM-4GIDF	Artery - Aorta
BMS-XBED-6626-SM-4GIDM	Muscle - Skeletal
BMS-XBED-6726-SM-4GIDD	Muscle - Skeletal
BMS-XBED-6926-SM-4GIB3	Pancreas
BMS-XBED-7026-SM-4GIAM	Skin - Sun Exposed (Lower leg)
BMS-XBED-7126-SM-4GID2	Skin - Sun Exposed (Lower leg)
BMS-XBED-7226-SM-4GIDQ	Thyroid
BMS-XBED-7326-SM-4GIAV	Thyroid
BMS-XMK1-0126-SM-4MVOL	Adrenal Gland
BMS-XMK1-0226-SM-4MVP2	Pancreas
BMS-XMK1-0326-SM-4MVOM	Artery - Aorta
BMS-XMK1-0426-SM-4MVON	Thyroid
BMS-XMK1-0526-SM-4MVP3	Skin - Sun Exposed (Lower leg)
BMS-XMK1-0626-SM-4MVOO	Muscle - Skeletal
BMS-XMK1-0726-SM-4MVOV	Thyroid
BMS-XMK1-0826-SM-4MVOW	Artery - Aorta
BMS-XMK1-0926-SM-4MVOX	Muscle - Skeletal
BMS-XMK1-1026-SM-4MVOY	Skin - Sun Exposed (Lower leg)
BMS-XMK1-1126-SM-4MVOZ	Adrenal Gland
BMS-XMK1-1226-SM-4MVP1	Pancreas
BMS-XMK1-1326-SM-4MVNI	Thyroid
BMS-XMK1-1426-SM-4MVNJ	Artery - Aorta
BMS-XMK1-1526-SM-4MVNK	Muscle - Skeletal
BMS-XMK1-1626-SM-4MVNL	Skin - Sun Exposed (Lower leg)
BMS-XMK1-1726-SM-4MVNM	Adrenal Gland
BMS-XMK1-1826-SM-4MVNN	Pancreas
BMS-XMK1-1926-SM-4MVP4	Thyroid
BMS-XMK1-2026-SM-4MVP5	Artery - Aorta
BMS-XMK1-2126-SM-4MVP6	Muscle - Skeletal
BMS-XMK1-2226-SM-4MVP7	Skin - Sun Exposed (Lower leg)
BMS-XMK1-2326-SM-4MVP8	Adrenal Gland
BMS-XMK1-2426-SM-4MVP9	Pancreas
BMS-XMK1-2626-SM-4MVPI	Adrenal Gland
BMS-XMK1-2726-SM-4MVO5	Adrenal Gland
BMS-XMK1-2926-SM-4MVO6	Pancreas
BMS-XMK1-3026-SM-4MVPG	Artery - Aorta
BMS-XMK1-3126-SM-4MVO7	Artery - Aorta
BMS-XMK1-3226-SM-4MVPL	Thyroid
BMS-XMK1-3326-SM-4MVO8	Thyroid
BMS-XMK1-3426-SM-4MVPH	Skin - Sun Exposed (Lower leg)
BMS-XMK1-3526-SM-4MVO9	Skin - Sun Exposed (Lower leg)
BMS-XMK1-3626-SM-4MVPK	Muscle - Skeletal
BMS-XMK1-3726-SM-4MVOA	Muscle - Skeletal
BMS-XMK1-3826-SM-4MVPM	Thyroid
BMS-XMK1-3926-SM-4MVOB	Thyroid
BMS-XMK1-4026-SM-4MVPJ	Artery - Aorta
BMS-XMK1-4226-SM-4MVPO	Muscle - Skeletal
BMS-XMK1-4326-SM-4MVNZ	Muscle - Skeletal
BMS-XMK1-4526-SM-4MVO1	Skin - Sun Exposed (Lower leg)
BMS-XMK1-4626-SM-4MVPN	Adrenal Gland
BMS-XMK1-4726-SM-4MVO2	Adrenal Gland
BMS-XMK1-5026-SM-4MVPP	Thyroid
BMS-XMK1-5126-SM-4MVO3	Thyroid
BMS-XMK1-5226-SM-4MVPX	Artery - Aorta
BMS-XMK1-5426-SM-4MVPY	Muscle - Skeletal
BMS-XMK1-5526-SM-4MVO4	Muscle - Skeletal
BMS-XMK1-5626-SM-4MVPQ	Skin - Sun Exposed (Lower leg)
BMS-XMK1-5826-SM-4MVNB	Adrenal Gland
BMS-XMK1-5926-SM-4MVPR	Adrenal Gland
BMS-XMK1-6226-SM-4MVNC	Thyroid
BMS-XMK1-6326-SM-4MVPS	Thyroid
BMS-XMK1-6426-SM-4MVND	Artery - Aorta
BMS-XMK1-6526-SM-4MVPT	Artery - Aorta
BMS-XMK1-6626-SM-4MVNE	Muscle - Skeletal
BMS-XMK1-6726-SM-4MVPU	Muscle - Skeletal
BMS-XMK1-6826-SM-4MVNF	Skin - Sun Exposed (Lower leg)
BMS-XMK1-6926-SM-4MVPV	Skin - Sun Exposed (Lower leg)
BMS-XMK1-7026-SM-4MVNG	Adrenal Gland
BMS-XMK1-7126-SM-4MVPW	Adrenal Gland
BMS-XPVG-0126-SM-4KL2W	Thyroid
BMS-XPVG-0226-SM-4KL2U	Artery - Aorta
BMS-XPVG-0326-SM-4KL2X	Muscle - Skeletal
BMS-XPVG-0426-SM-4KL2V	Skin - Sun Exposed (Lower leg)
BMS-XPVG-0526-SM-4KL2M	Adrenal Gland
BMS-XPVG-0626-SM-4KL2N	Pancreas
BMS-XPVG-0726-SM-4KL2G	Thyroid
BMS-XPVG-0826-SM-4KL2H	Artery - Aorta
BMS-XPVG-0926-SM-4KL2I	Muscle - Skeletal
BMS-XPVG-1026-SM-4KL2J	Skin - Sun Exposed (Lower leg)
BMS-XPVG-1126-SM-4KL2K	Adrenal Gland
BMS-XPVG-1226-SM-4KL2L	Pancreas
BMS-XPVG-1326-SM-4KL23	Thyroid
BMS-XPVG-1426-SM-4KKZA	Artery - Aorta
BMS-XPVG-1526-SM-4KKZB	Muscle - Skeletal
BMS-XPVG-1626-SM-4KKZC	Skin - Sun Exposed (Lower leg)
BMS-XPVG-1726-SM-4KKZD	Adrenal Gland
BMS-XPVG-1826-SM-4KKZE	Pancreas
BMS-XPVG-1926-SM-4KL2O	Thyroid
BMS-XPVG-2026-SM-4KL2P	Artery - Aorta
BMS-XPVG-2126-SM-4KL2Q	Muscle - Skeletal
BMS-XPVG-2226-SM-4KL2R	Skin - Sun Exposed (Lower leg)
BMS-XPVG-2326-SM-4KL2S	Adrenal Gland
BMS-XPVG-2426-SM-4KL2T	Pancreas
BMS-XPVG-2626-SM-4KL11	Thyroid
BMS-XPVG-2726-SM-4KL29	Thyroid
BMS-XPVG-2826-SM-4KL12	Artery - Aorta
BMS-XPVG-2926-SM-4KL2A	Artery - Aorta
BMS-XPVG-3026-SM-4KL13	Muscle - Skeletal
BMS-XPVG-3126-SM-4KL2B	Muscle - Skeletal
BMS-XPVG-3326-SM-4KL2C	Skin - Sun Exposed (Lower leg)
BMS-XPVG-3426-SM-4KL14	Adrenal Gland
BMS-XPVG-3526-SM-4KL2D	Adrenal Gland
BMS-XPVG-3826-SM-4KL15	Thyroid
BMS-XPVG-3926-SM-4KL2E	Thyroid
BMS-XPVG-4026-SM-4KL16	Artery - Aorta
BMS-XPVG-4126-SM-4KL2F	Artery - Aorta
BMS-XPVG-4226-SM-4KL17	Muscle - Skeletal
BMS-XPVG-4326-SM-4KL26	Muscle - Skeletal
BMS-XPVG-4426-SM-4KL18	Skin - Sun Exposed (Lower leg)
BMS-XPVG-4526-SM-4KL27	Skin - Sun Exposed (Lower leg)
BMS-XPVG-4626-SM-4KL19	Adrenal Gland
BMS-XPVG-4726-SM-4KL28	Adrenal Gland
BMS-XPVG-5026-SM-4KL1A	Thyroid
BMS-XPVG-5126-SM-4KL1H	Thyroid
BMS-XPVG-5226-SM-4KL1B	Artery - Aorta
BMS-XPVG-5326-SM-4KL1I	Artery - Aorta
BMS-XPVG-5426-SM-4KL1C	Muscle - Skeletal
BMS-XPVG-5526-SM-4KL1J	Muscle - Skeletal
BMS-XPVG-5626-SM-4KL1D	Skin - Sun Exposed (Lower leg)
BMS-XPVG-5826-SM-4KL1E	Adrenal Gland
BMS-XPVG-5926-SM-4KKZU	Adrenal Gland
BMS-XPVG-6226-SM-4KL1F	Thyroid
BMS-XPVG-6326-SM-4KKZV	Thyroid
BMS-XPVG-6426-SM-4KL1G	Artery - Aorta
BMS-XPVG-6526-SM-4KKZW	Artery - Aorta
BMS-XPVG-6626-SM-4KKZR	Muscle - Skeletal
BMS-XPVG-6726-SM-4KKZX	Muscle - Skeletal
BMS-XPVG-6826-SM-4KKZS	Skin - Sun Exposed (Lower leg)
BMS-XPVG-6926-SM-4KKZY	Skin - Sun Exposed (Lower leg)
BMS-XPVG-7026-SM-4KKZT	Adrenal Gland
BMS-XPVG-7126-SM-4KKZZ	Adrenal Gland
BMS-XUJ4-0126-SM-4LMJ5	Thyroid
BMS-XUJ4-0226-SM-4LMJ6	Artery - Aorta
BMS-XUJ4-0326-SM-4LMJ7	Muscle - Skeletal
BMS-XUJ4-0426-SM-4LMJ8	Skin - Sun Exposed (Lower leg)
BMS-XUJ4-0526-SM-4LMIV	Adrenal Gland
BMS-XUJ4-0626-SM-4LMIW	Pancreas
BMS-XUJ4-0726-SM-4LMIX	Thyroid
BMS-XUJ4-0826-SM-4LMIY	Artery - Aorta
BMS-XUJ4-0926-SM-4LMIZ	Muscle - Skeletal
BMS-XUJ4-1026-SM-4LMJ1	Skin - Sun Exposed (Lower leg)
BMS-XUJ4-1126-SM-4LMJ2	Adrenal Gland
BMS-XUJ4-1226-SM-4LMJ4	Pancreas
BMS-XUJ4-1326-SM-4LMIR	Thyroid
BMS-XUJ4-1426-SM-4LMIS	Artery - Aorta
BMS-XUJ4-1526-SM-4LMIT	Muscle - Skeletal
BMS-XUJ4-1626-SM-4LMIU	Skin - Sun Exposed (Lower leg)
BMS-XUJ4-1726-SM-4LMIM	Adrenal Gland
BMS-XUJ4-1826-SM-4LMIN	Pancreas
BMS-XUJ4-1926-SM-4LMIO	Thyroid
BMS-XUJ4-2026-SM-4LMIP	Artery - Aorta
BMS-XUJ4-2126-SM-4LMKO	Muscle - Skeletal
BMS-XUJ4-2226-SM-4LMKP	Skin - Sun Exposed (Lower leg)
BMS-XUJ4-2326-SM-4LMKQ	Adrenal Gland
BMS-XUJ4-2426-SM-4LMKR	Pancreas
BMS-XUJ4-2626-SM-4LMJH	Thyroid
BMS-XUJ4-2726-SM-4LMKF	Thyroid
BMS-XUJ4-2826-SM-4LMJI	Artery - Aorta
BMS-XUJ4-2926-SM-4LMKH	Artery - Aorta
BMS-XUJ4-3026-SM-4LMJJ	Muscle - Skeletal
BMS-XUJ4-3126-SM-4LMKI	Muscle - Skeletal
BMS-XUJ4-3226-SM-4LMJK	Skin - Sun Exposed (Lower leg)
BMS-XUJ4-3326-SM-4LMKJ	Skin - Sun Exposed (Lower leg)
BMS-XUJ4-3426-SM-4LMJL	Adrenal Gland
BMS-XUJ4-3526-SM-4LMKK	Adrenal Gland
BMS-XUJ4-3626-SM-4LMJM	Pancreas
BMS-XUJ4-3726-SM-4LMKL	Pancreas
BMS-XUJ4-3826-SM-4LMJN	Thyroid
BMS-XUJ4-3926-SM-4LMKM	Thyroid
BMS-XUJ4-4126-SM-4LMKN	Artery - Aorta
BMS-XUJ4-4226-SM-4LMJO	Muscle - Skeletal
BMS-XUJ4-4326-SM-4LMKD	Muscle - Skeletal
BMS-XUJ4-4626-SM-4LMJP	Adrenal Gland
BMS-XUJ4-4726-SM-4LMKE	Adrenal Gland
BMS-XUJ4-4826-SM-4LMJQ	Pancreas
BMS-XUJ4-5026-SM-4LMJS	Thyroid
BMS-XUJ4-5126-SM-4LMJX	Thyroid
BMS-XUJ4-5226-SM-4LMJT	Artery - Aorta
BMS-XUJ4-5326-SM-4LMJY	Artery - Aorta
BMS-XUJ4-5426-SM-4LMJU	Muscle - Skeletal
BMS-XUJ4-5526-SM-4LMJZ	Muscle - Skeletal
BMS-XUJ4-5826-SM-4LMJV	Adrenal Gland
BMS-XUJ4-5926-SM-4LMJ9	Adrenal Gland
BMS-XUJ4-6126-SM-4LMJA	Pancreas
BMS-XUJ4-6226-SM-4LMJW	Thyroid
BMS-XUJ4-6326-SM-4LMJB	Thyroid
BMS-XUJ4-6526-SM-4LMJC	Artery - Aorta
BMS-XUJ4-6626-SM-4LMII	Muscle - Skeletal
BMS-XUJ4-6726-SM-4LMJD	Muscle - Skeletal
BMS-XUJ4-6826-SM-4LMIJ	Skin - Sun Exposed (Lower leg)
BMS-XUJ4-6926-SM-4LMJE	Skin - Sun Exposed (Lower leg)
BMS-XUJ4-7026-SM-4LMIK	Adrenal Gland
BMS-XUJ4-7126-SM-4LMJG	Adrenal Gland
BMS-XUJ4-7226-SM-4LMIL	Pancreas
BMS-XUZC-0126-SM-4LVLN	Thyroid
BMS-XUZC-0226-SM-4LVLO	Artery - Aorta
BMS-XUZC-0326-SM-4LVLP	Muscle - Skeletal
BMS-XUZC-0426-SM-4LVLQ	Skin - Sun Exposed (Lower leg)
BMS-XUZC-0526-SM-4LVLF	Thyroid
BMS-XUZC-0626-SM-4LVLG	Artery - Aorta
BMS-XUZC-0726-SM-4LVLH	Muscle - Skeletal
BMS-XUZC-0826-SM-4LVLI	Skin - Sun Exposed (Lower leg)
BMS-XUZC-0926-SM-4LVLJ	Thyroid
BMS-XUZC-1026-SM-4LVLK	Artery - Aorta
BMS-XUZC-1126-SM-4LVLL	Muscle - Skeletal
BMS-XUZC-1226-SM-4LVLM	Skin - Sun Exposed (Lower leg)
BMS-XUZC-1326-SM-4LVLC	Thyroid
BMS-XUZC-1426-SM-4LVLD	Artery - Aorta
BMS-XUZC-1526-SM-4LVLE	Muscle - Skeletal
BMS-XUZC-2626-SM-4LVLR	Thyroid
BMS-XUZC-2726-SM-4LVNE	Thyroid
BMS-XUZC-2826-SM-4LVLS	Artery - Aorta
BMS-XUZC-2926-SM-4LVNF	Artery - Aorta
BMS-XUZC-3026-SM-4LVLT	Muscle - Skeletal
BMS-XUZC-3126-SM-4LVNG	Muscle - Skeletal
BMS-XUZC-3226-SM-4LVLU	Skin - Sun Exposed (Lower leg)
BMS-XUZC-3326-SM-4LVNH	Skin - Sun Exposed (Lower leg)
BMS-XUZC-3426-SM-4LVL8	Thyroid
BMS-XUZC-3526-SM-4LVNI	Thyroid
BMS-XUZC-3626-SM-4LVL9	Artery - Aorta
BMS-XUZC-3726-SM-4LVNJ	Artery - Aorta
BMS-XUZC-3826-SM-4LVLA	Muscle - Skeletal
BMS-XUZC-3926-SM-4LVNK	Muscle - Skeletal
BMS-XUZC-4026-SM-4LVLB	Skin - Sun Exposed (Lower leg)
BMS-XUZC-4126-SM-4LVNL	Skin - Sun Exposed (Lower leg)
BMS-XUZC-4226-SM-4LVKZ	Thyroid
BMS-XUZC-4326-SM-4LVNA	Thyroid
BMS-XUZC-4426-SM-4LVL1	Artery - Aorta
BMS-XUZC-4526-SM-4LVNB	Artery - Aorta
BMS-XUZC-4626-SM-4LVL2	Muscle - Skeletal
BMS-XUZC-4726-SM-4LVNC	Muscle - Skeletal
BMS-XUZC-4826-SM-4LVL3	Skin - Sun Exposed (Lower leg)
BMS-XUZC-4926-SM-4LVND	Skin - Sun Exposed (Lower leg)
BMS-XUZC-5026-SM-4LVL4	Thyroid
BMS-XUZC-5126-SM-4LVLV	Thyroid
BMS-XUZC-5226-SM-4LVL5	Artery - Aorta
BMS-XUZC-5326-SM-4LVLW	Artery - Aorta
BMS-XUZC-5426-SM-4LVL6	Muscle - Skeletal
BMS-XUZC-5626-SM-4LVL7	Skin - Sun Exposed (Lower leg)
BMS-XV7Q-0126-SM-4M1YU	Thyroid
BMS-XV7Q-0226-SM-4M1YV	Artery - Aorta
BMS-XV7Q-0326-SM-4M1YW	Muscle - Skeletal
BMS-XV7Q-0426-SM-4M1YX	Skin - Sun Exposed (Lower leg)
BMS-XV7Q-0526-SM-4M1YM	Adrenal Gland
BMS-XV7Q-0626-SM-4M1YN	Pancreas
BMS-XV7Q-0726-SM-4M1YO	Thyroid
BMS-XV7Q-0826-SM-4M1YP	Artery - Aorta
BMS-XV7Q-0926-SM-4M1YQ	Muscle - Skeletal
BMS-XV7Q-1026-SM-4M1YR	Skin - Sun Exposed (Lower leg)
BMS-XV7Q-1126-SM-4VBQY	Adrenal Gland
BMS-XV7Q-1226-SM-4M1YT	Pancreas
BMS-XV7Q-1326-SM-4M1YI	Thyroid
BMS-XV7Q-1426-SM-4M1YJ	Artery - Aorta
BMS-XV7Q-1526-SM-4M1YK	Muscle - Skeletal
BMS-XV7Q-1626-SM-4M1YL	Skin - Sun Exposed (Lower leg)
BMS-XV7Q-1726-SM-4M1YE	Adrenal Gland
BMS-XV7Q-1826-SM-4M1YF	Pancreas
BMS-XV7Q-1926-SM-4M1YG	Thyroid
BMS-XV7Q-2026-SM-4M1YH	Artery - Aorta
BMS-XV7Q-2126-SM-4M1ZZ	Muscle - Skeletal
BMS-XV7Q-2226-SM-4M211	Skin - Sun Exposed (Lower leg)
BMS-XV7Q-2326-SM-4M212	Adrenal Gland
BMS-XV7Q-2426-SM-4M213	Pancreas
BMS-XV7Q-2626-SM-4M1Y7	Thyroid
BMS-XV7Q-2726-SM-4M1YY	Thyroid
BMS-XV7Q-2826-SM-4M1Y8	Artery - Aorta
BMS-XV7Q-2926-SM-4M1YZ	Artery - Aorta
BMS-XV7Q-3026-SM-4M1Y9	Muscle - Skeletal
BMS-XV7Q-3126-SM-4M1Z1	Muscle - Skeletal
BMS-XV7Q-3326-SM-4M1Z2	Skin - Sun Exposed (Lower leg)
BMS-XV7Q-3426-SM-4M1YA	Adrenal Gland
BMS-XV7Q-3526-SM-4M1Z3	Adrenal Gland
BMS-XV7Q-3626-SM-4M1YB	Pancreas
BMS-XV7Q-3826-SM-4M1YC	Thyroid
BMS-XV7Q-3926-SM-4M1Z4	Thyroid
BMS-XV7Q-4026-SM-4M1YD	Artery - Aorta
BMS-XV7Q-4126-SM-4M1Z5	Artery - Aorta
BMS-XV7Q-4226-SM-4M1XZ	Muscle - Skeletal
BMS-XV7Q-4326-SM-4M1Z6	Muscle - Skeletal
BMS-XV7Q-4426-SM-4M1Y1	Skin - Sun Exposed (Lower leg)
BMS-XV7Q-4626-SM-4M1Y2	Adrenal Gland
BMS-XV7Q-4726-SM-4M1Z7	Adrenal Gland
BMS-XV7Q-4926-SM-4M1Z8	Pancreas
BMS-XV7Q-5026-SM-4M1Y3	Thyroid
BMS-XV7Q-5126-SM-4M1Z9	Thyroid
BMS-XV7Q-5226-SM-4M1Y4	Artery - Aorta
BMS-XV7Q-5426-SM-4M1Y5	Muscle - Skeletal
BMS-XV7Q-5526-SM-4M1ZA	Muscle - Skeletal
BMS-XV7Q-5626-SM-4M1Y6	Skin - Sun Exposed (Lower leg)
BMS-XV7Q-5826-SM-4M1ZT	Adrenal Gland
BMS-XV7Q-5926-SM-4M1ZB	Adrenal Gland
BMS-XV7Q-6226-SM-4M1ZU	Thyroid
BMS-XV7Q-6326-SM-4M1ZC	Thyroid
BMS-XV7Q-6426-SM-4M1ZV	Artery - Aorta
BMS-XV7Q-6526-SM-4M1ZD	Artery - Aorta
BMS-XV7Q-6626-SM-4M1ZW	Muscle - Skeletal
BMS-XV7Q-6726-SM-4M1ZE	Muscle - Skeletal
BMS-XV7Q-6826-SM-4M1ZX	Skin - Sun Exposed (Lower leg)
BMS-XV7Q-6926-SM-4M1ZF	Skin - Sun Exposed (Lower leg)
BMS-XV7Q-7026-SM-4M1ZY	Adrenal Gland
BMS-XV7Q-7126-SM-4M1ZG	Adrenal Gland
BMS-XV7Q-7326-SM-4M1ZH	Pancreas
BMS-XXEK-0126-SM-4IHKD	Artery - Aorta
BMS-XXEK-0226-SM-4IHL9	Thyroid
BMS-XXEK-0326-SM-4IHLG	Pancreas
BMS-XXEK-0426-SM-4IHKY	Skin - Sun Exposed (Lower leg)
BMS-XXEK-0526-SM-4IHKM	Muscle - Skeletal
BMS-XXEK-0626-SM-4IHKZ	Thyroid
BMS-XXEK-0726-SM-4IHJT	Artery - Aorta
BMS-XXEK-0826-SM-4IHKX	Muscle - Skeletal
BMS-XXEK-0926-SM-4IHL5	Skin - Sun Exposed (Lower leg)
BMS-XXEK-1026-SM-4IHKI	Pancreas
BMS-XXEK-1126-SM-4IHLC	Thyroid
BMS-XXEK-1226-SM-4IHKV	Artery - Aorta
BMS-XXEK-1326-SM-4IHK6	Muscle - Skeletal
BMS-XXEK-1426-SM-4IHKH	Skin - Sun Exposed (Lower leg)
BMS-XXEK-1526-SM-4IHKQ	Pancreas
BMS-XXEK-1626-SM-4IHLA	Thyroid
BMS-XXEK-1726-SM-4IHJS	Artery - Aorta
BMS-XXEK-1826-SM-4IHKU	Muscle - Skeletal
BMS-XXEK-1926-SM-4IHKL	Skin - Sun Exposed (Lower leg)
BMS-XXEK-2026-SM-4IHKP	Pancreas
BMS-XXEK-2626-SM-4IHK3	Artery - Aorta
